match_date,host_country,host_city,stadium_name,match_type,match_period,first_batting_team,second_batting_team,first_batting_team_score,second_batting_team_score,winning_team,margin,margin_type,winning_condition,season,season_winner,note
03-06-2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",Final,,Royal Challengers Bengaluru,Punjab Kings,190/9,184/7,Royal Challengers Bengaluru,6,runs,,2025,Royal Challengers Bengaluru,
01-06-2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",Qualifier 2,,Punjab Kings,Punjab Kings,203/6,207/5,Punjab Kings,5,wickets,6 balls remaining,2025,Royal Challengers Bengaluru,
30-05-2025,India,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Eliminator,,Mumbai Indians,Gujarat Titans,228/5,208/6,Mumbai Indians,20,runs,,2025,Royal Challengers Bengaluru,
29-05-2025,India,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Qualifier 1,,Royal Challengers Bengaluru,Royal Challengers Bengaluru,101/10,106/2,Royal Challengers Bengaluru,8,wickets,60 balls remaining,2025,Royal Challengers Bengaluru,
27-05-2025,India,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",70th Match,,Royal Challengers Bengaluru,Royal Challengers Bengaluru,227/3,230/4,Royal Challengers Bengaluru,6,wickets,8 balls remaining,2025,Royal Challengers Bengaluru,
26-05-2025,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",69th Match,,Punjab Kings,Punjab Kings,184/7,187/3,Punjab Kings,7,wickets,9 balls remaining,2025,Royal Challengers Bengaluru,
25-05-2025,India,Delhi,"Arun Jaitley Stadium, Delhi",68th Match,,Sunrisers Hyderabad,Kolkata Knight Riders,278/3,168/10,Sunrisers Hyderabad,110,runs,,2025,Royal Challengers Bengaluru,
25-05-2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",67th Match,,Chennai Super Kings,Gujarat Titans,230/5,147/10,Chennai Super Kings,83,runs,,2025,Royal Challengers Bengaluru,
24-05-2025,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",66th Match,,Punjab Kings,Delhi Capitals,206/8,208/4,Delhi Capitals,6,wickets,3 balls remaining,2025,Royal Challengers Bengaluru,
23-05-2025,India,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",65th Match,,Sunrisers Hyderabad,Royal Challengers Bengaluru,231/6,189/10,Sunrisers Hyderabad,42,runs,,2025,Royal Challengers Bengaluru,
22-05-2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",64th Match,,Lucknow Super Giants,Gujarat Titans,235/2,202/9,Lucknow Super Giants,33,runs,,2025,Royal Challengers Bengaluru,
21-05-2025,India,Mumbai,"Wankhede Stadium, Mumbai",63rd Match,,Delhi Capitals,Delhi Capitals,180/5,121/10,Mumbai Indians,59,runs,,2025,Royal Challengers Bengaluru,
